"","title","tags"
"344","My wish: Three unusual medical inventions","business"
"345","My wish: Three unusual medical inventions","disease"
"346","My wish: Three unusual medical inventions","healthcare"
"347","My wish: Three unusual medical inventions","invention"
"348","My wish: Three unusual medical inventions","medicine"
"349","My wish: Three unusual medical inventions","science"
"350","My wish: Three unusual medical inventions","technology"
"351","How juries are fooled by statistics","culture"
"352","How juries are fooled by statistics","genetics"
"353","How juries are fooled by statistics","science"
"354","How juries are fooled by statistics","statistics"
"355","How juries are fooled by statistics","technology"
"356","Why people believe weird things","culture"
"357","Why people believe weird things","entertainment"
"358","Why people believe weird things","faith"
"359","Why people believe weird things","illusion"
"360","Why people believe weird things","religion"
"361","Why people believe weird things","science"
"362","The accelerating power of technology","TEDBrainTrust"
"363","The accelerating power of technology","biotech"
"364","The accelerating power of technology","business"
"365","The accelerating power of technology","culture"
"366","The accelerating power of technology","future"
"367","The accelerating power of technology","invention"
"368","The accelerating power of technology","robots"
"369","The accelerating power of technology","science"
"370","The accelerating power of technology","technology"
"371","How technology evolves","choice"
"372","How technology evolves","culture"
"373","How technology evolves","evolution"
"374","How technology evolves","future"
"375","How technology evolves","history"
"376","How technology evolves","philosophy"
"377","How technology evolves","science"
"378","How technology evolves","technology"
"379","Fight injustice with raw video","TEDBrainTrust"
"380","Fight injustice with raw video","activism"
"381","Fight injustice with raw video","art"
"382","Fight injustice with raw video","collaboration"
"383","Fight injustice with raw video","culture"
"384","Fight injustice with raw video","film"
"385","Fight injustice with raw video","globalissues"
"386","Fight injustice with raw video","music"
"387","Fight injustice with raw video","socialchange"
"388","Fight injustice with raw video","storytelling"
"389","8 secrets of success","business"
"390","8 secrets of success","culture"
"391","8 secrets of success","entertainment"
"392","8 secrets of success","happiness"
"393","8 secrets of success","psychology"
"394","8 secrets of success","success"
"395","8 secrets of success","work"
"396","If I controlled the Internet","culture"
"397","If I controlled the Internet","entertainment"
"398","If I controlled the Internet","love"
"399","If I controlled the Internet","performance"
"400","If I controlled the Internet","philosophy"
"401","If I controlled the Internet","poetry"
"402","The killer American diet that's sweeping the planet","culture"
"403","The killer American diet that's sweeping the planet","disease"
"404","The killer American diet that's sweeping the planet","food"
"405","The killer American diet that's sweeping the planet","globalissues"
"406","The killer American diet that's sweeping the planet","health"
"407","The killer American diet that's sweeping the planet","healthcare"
"408","The killer American diet that's sweeping the planet","obesity"
"409","The killer American diet that's sweeping the planet","science"
"410","The hidden world of shadow cities","business"
"411","The hidden world of shadow cities","cities"
"412","The hidden world of shadow cities","culture"
"413","The hidden world of shadow cities","entrepreneur"
"414","The hidden world of shadow cities","future"
"415","The hidden world of shadow cities","globaldevelopment"
"416","The hidden world of shadow cities","globalissues"
"417","The hidden world of shadow cities","policy"
"418","The hidden world of shadow cities","poverty"
"419","The hidden world of shadow cities","socialchange"
"420","Global priorities bigger than climate change","AIDS"
"421","Global priorities bigger than climate change","Africa"
"422","Global priorities bigger than climate change","business"
"423","Global priorities bigger than climate change","choice"
"424","Global priorities bigger than climate change","climatechange"
"425","Global priorities bigger than climate change","culture"
"426","Global priorities bigger than climate change","disasterrelief"
"427","Global priorities bigger than climate change","economics"
"428","Global priorities bigger than climate change","environment"
"429","Global priorities bigger than climate change","future"
"430","Dreams from endangered cultures","anthropology"
"431","Dreams from endangered cultures","culture"
"432","Dreams from endangered cultures","environment"
"433","Dreams from endangered cultures","film"
"434","Dreams from endangered cultures","globalissues"
"435","Dreams from endangered cultures","language"
"436","Dreams from endangered cultures","photography"
"437","Photos of endangered cultures","activism"
"438","Photos of endangered cultures","art"
"439","Photos of endangered cultures","culture"
"440","Photos of endangered cultures","design"
"441","Photos of endangered cultures","film"
"442","Photos of endangered cultures","globalissues"
"443","Photos of endangered cultures","photography"
"444","Photos of endangered cultures","socialchange"
"445","Photos of endangered cultures","storytelling"
"446","Is this our final century?","astronomy"
"447","Is this our final century?","climatechange"
"448","Is this our final century?","complexity"
"449","Is this our final century?","cosmos"
"450","Is this our final century?","science"
"451","Is this our final century?","socialchange"
"452","Is this our final century?","technology"
"453","Is this our final century?","time"
"454","Is this our final century?","universe"
"455","Progress is not a zero-sum game","collaboration"
"456","Progress is not a zero-sum game","culture"
"457","Progress is not a zero-sum game","evolutionarypsychology"
"458","Progress is not a zero-sum game","globalissues"
"459","Progress is not a zero-sum game","war"
"460","How the ""ghost map"" helped end a killer disease","cities"
"461","How the ""ghost map"" helped end a killer disease","culture"
"462","How the ""ghost map"" helped end a killer disease","design"
"463","How the ""ghost map"" helped end a killer disease","disease"
"464","How the ""ghost map"" helped end a killer disease","health"
"465","How the ""ghost map"" helped end a killer disease","history"
"466","How the ""ghost map"" helped end a killer disease","map"
"467","How the ""ghost map"" helped end a killer disease","science"
"468","How the ""ghost map"" helped end a killer disease","urbanplanning"
"469","The era of open innovation","business"
"470","The era of open innovation","collaboration"
"471","The era of open innovation","culture"
"472","The era of open innovation","economics"
"473","The era of open innovation","innovation"
"474","The era of open innovation","invention"
"475","The era of open innovation","media"
"476","The era of open innovation","open-source"
"477","The era of open innovation","productdesign"
"478","A dance of ""Symbiosis""","dance"
"479","A dance of ""Symbiosis""","entertainment"
"480","A dance of ""Symbiosis""","nature"
"481","A dance of ""Symbiosis""","performance"
"482","A dance of ""Symbiosis""","science"
"483","A dance of ""Symbiosis""","scienceandart"
"484","Four American characters","MacArthurgrant"
"485","Four American characters","UnitedStates"
"486","Four American characters","culture"
"487","Four American characters","entertainment"
"488","Four American characters","history"
"489","Four American characters","interview"
"490","Four American characters","performance"
"491","Four American characters","performanceart"
"492","Four American characters","race"
"493","Four American characters","sports"
"494","Four American characters","storytelling"
"495","Four American characters","theater"
"496","Everyday inventions","MacArthurgrant"
"497","Everyday inventions","collaboration"
"498","Everyday inventions","design"
"499","Everyday inventions","innovation"
"500","Everyday inventions","invention"
"501","Everyday inventions","materials"
"502","Everyday inventions","open-source"
"503","Everyday inventions","productdesign"
"504","Everyday inventions","technology"
"505","Unleash your creativity in a Fab Lab","code"
"506","Unleash your creativity in a Fab Lab","computers"
"507","Unleash your creativity in a Fab Lab","culture"
"508","Unleash your creativity in a Fab Lab","education"
"509","Unleash your creativity in a Fab Lab","engineering"
"510","Unleash your creativity in a Fab Lab","invention"
"511","Unleash your creativity in a Fab Lab","materials"
"512","Unleash your creativity in a Fab Lab","science"
"513","Unleash your creativity in a Fab Lab","socialchange"
"514","Unleash your creativity in a Fab Lab","technology"
"515","In praise of slowness","choice"
"516","In praise of slowness","culture"
"517","In praise of slowness","happiness"
"518","In praise of slowness","health"
"519","In praise of slowness","parenting"
"520","In praise of slowness","personalgrowth"
"521","In praise of slowness","potential"
"522","In praise of slowness","psychology"
"523","In praise of slowness","work-lifebalance"
"524","My wish: Rebuilding Rwanda","Africa"
"525","My wish: Rebuilding Rwanda","TEDPrize"
"526","My wish: Rebuilding Rwanda","business"
"527","My wish: Rebuilding Rwanda","culture"
"528","My wish: Rebuilding Rwanda","economics"
"529","My wish: Rebuilding Rwanda","globalissues"
"530","My wish: Rebuilding Rwanda","healthcare"
"531","My wish: Rebuilding Rwanda","technology"
"532","My wish: Build the Encyclopedia of Life","TEDPrize"
"533","My wish: Build the Encyclopedia of Life","ants"
"534","My wish: Build the Encyclopedia of Life","biodiversity"
"535","My wish: Build the Encyclopedia of Life","biology"
"536","My wish: Build the Encyclopedia of Life","ecology"
"537","My wish: Build the Encyclopedia of Life","globalissues"
"538","My wish: Build the Encyclopedia of Life","insects"
"539","My wish: Build the Encyclopedia of Life","nature"
"540","My wish: Build the Encyclopedia of Life","science"
"541","My wish: Build the Encyclopedia of Life","technology"
"542","My wish: Let my photographs bear witness","activism"
"543","My wish: Let my photographs bear witness","art"
"544","My wish: Let my photographs bear witness","culture"
"545","My wish: Let my photographs bear witness","globalissues"
"546","My wish: Let my photographs bear witness","media"
"547","My wish: Let my photographs bear witness","photography"
"548","My wish: Let my photographs bear witness","poverty"
"549","My wish: Let my photographs bear witness","socialchange"
"550","My wish: Let my photographs bear witness","storytelling"
"551","My wish: Let my photographs bear witness","war"
"552","What separates us from chimpanzees?","Africa"
"553","What separates us from chimpanzees?","animals"
"554","What separates us from chimpanzees?","culture"
"555","What separates us from chimpanzees?","environment"
"556","What separates us from chimpanzees?","globalissues"
"557","What separates us from chimpanzees?","nature"
"558","What separates us from chimpanzees?","primates"
"559","What separates us from chimpanzees?","science"
"560","How to get your ideas to spread","TEDBrainTrust"
"561","How to get your ideas to spread","business"
"562","How to get your ideas to spread","choice"
"563","How to get your ideas to spread","culture"
"564","How to get your ideas to spread","marketing"
"565","How to get your ideas to spread","storytelling"
"566","How we discovered DNA","DNA"
"567","How we discovered DNA","culture"
"568","How we discovered DNA","genetics"
"569","How we discovered DNA","history"
"570","How we discovered DNA","invention"
"571","How we discovered DNA","science"
"572","How we discovered DNA","storytelling"
"573","How we discovered DNA","technology"
"574","Visual illusions that show how we (mis)think","brain"
"575","Visual illusions that show how we (mis)think","cognitivescience"
"576","Visual illusions that show how we (mis)think","culture"
"577","Visual illusions that show how we (mis)think","design"
"578","Visual illusions that show how we (mis)think","illusion"
"579","Visual illusions that show how we (mis)think","psychology"
"580","To invent is to give","business"
"581","To invent is to give","cars"
"582","To invent is to give","industrialdesign"
"583","To invent is to give","innovation"
"584","To invent is to give","invention"
"585","To invent is to give","robots"
"586","To invent is to give","science"
"587","To invent is to give","socialchange"
"588","To invent is to give","sustainability"
"589","To invent is to give","technology"
"590","To invent is to give","transportation"
"591","The life code that will reshape the future","DNA"
"592","The life code that will reshape the future","TEDBrainTrust"
"593","The life code that will reshape the future","biotech"
"594","The life code that will reshape the future","business"
"595","The life code that will reshape the future","culture"
"596","The life code that will reshape the future","genetics"
"597","The life code that will reshape the future","invention"
"598","The life code that will reshape the future","science"
"599","The life code that will reshape the future","technology"
"600","Happiness by design","TEDBrainTrust"
"601","Happiness by design","art"
"602","Happiness by design","design"
"603","Happiness by design","happiness"
"604","Happiness by design","typography"
"605","The route to a sustainable future","alternativeenergy"
"606","The route to a sustainable future","business"
"607","The route to a sustainable future","cities"
"608","The route to a sustainable future","collaboration"
"609","The route to a sustainable future","culture"
"610","The route to a sustainable future","design"
"611","The route to a sustainable future","environment"
"612","The route to a sustainable future","globalissues"
"613","The route to a sustainable future","invention"
"614","The route to a sustainable future","sustainability"
"615","How architecture can connect us","architecture"
"616","How architecture can connect us","cities"
"617","How architecture can connect us","culture"
"618","How architecture can connect us","design"
"619","How architecture can connect us","invention"
"620","Great cars are great art","art"
"621","Great cars are great art","business"
"622","Great cars are great art","cars"
"623","Great cars are great art","design"
"624","Great cars are great art","industrialdesign"
"625","Great cars are great art","invention"
"626","Great cars are great art","technology"
"627","Great cars are great art","transportation"
"628","Singing ""What I Want""","entertainment"
"629","Singing ""What I Want""","livemusic"
"630","Singing ""What I Want""","music"
"631","Singing ""What I Want""","performance"
"632","Singing ""What I Want""","poetry"
"633","Singing ""What I Want""","singer"
"634","Design is in the details","business"
"635","Design is in the details","design"
"636","Design is in the details","industrialdesign"
"637","Design is in the details","productdesign"
"638","Art with wire, sugar, chocolate and string","Brazil"
"639","Art with wire, sugar, chocolate and string","animation"
"640","Art with wire, sugar, chocolate and string","art"
"641","Art with wire, sugar, chocolate and string","creativity"
"642","Art with wire, sugar, chocolate and string","design"
"643","Art with wire, sugar, chocolate and string","illusion"
"644","A philosophical quest for our biggest problems","biotech"
"645","A philosophical quest for our biggest problems","culture"
"646","A philosophical quest for our biggest problems","future"
"647","A philosophical quest for our biggest problems","globalissues"
"648","A philosophical quest for our biggest problems","happiness"
"649","A philosophical quest for our biggest problems","philosophy"
"650","A philosophical quest for our biggest problems","technology"
"651","Biomimicry's surprising lessons from nature's engineers","DNA"
"652","Biomimicry's surprising lessons from nature's engineers","animals"
"653","Biomimicry's surprising lessons from nature's engineers","biology"
"654","Biomimicry's surprising lessons from nature's engineers","biomimicry"
"655","Biomimicry's surprising lessons from nature's engineers","design"
"656","Biomimicry's surprising lessons from nature's engineers","environment"
"657","Biomimicry's surprising lessons from nature's engineers","evolution"
"658","Biomimicry's surprising lessons from nature's engineers","fish"
"659","Biomimicry's surprising lessons from nature's engineers","science"
"660","Biomimicry's surprising lessons from nature's engineers","technology"
"661","Sampling the ocean's DNA","DNA"
"662","Sampling the ocean's DNA","biodiversity"
"663","Sampling the ocean's DNA","biology"
"664","Sampling the ocean's DNA","biotech"
"665","Sampling the ocean's DNA","ecology"
"666","Sampling the ocean's DNA","entrepreneur"
"667","Sampling the ocean's DNA","genetics"
"668","Sampling the ocean's DNA","invention"
"669","Sampling the ocean's DNA","oceans"
"670","Sampling the ocean's DNA","science"
"671","Sampling the ocean's DNA","technology"
"672","Software (as) art","art"
"673","Software (as) art","entertainment"
"674","Software (as) art","invention"
"675","Software (as) art","music"
"676","Software (as) art","performance"
"677","Software (as) art","software"
"678","Software (as) art","technology"
"679","The gentle genius of bonobos","animals"
"680","The gentle genius of bonobos","apes"
"681","The gentle genius of bonobos","biology"
"682","The gentle genius of bonobos","culture"
"683","The gentle genius of bonobos","evolution"
"684","The gentle genius of bonobos","genetics"
"685","The gentle genius of bonobos","intelligence"
"686","The gentle genius of bonobos","language"
"687","The story of life in photographs","animals"
"688","The story of life in photographs","art"
"689","The story of life in photographs","design"
"690","The story of life in photographs","evolution"
"691","The story of life in photographs","fish"
"692","The story of life in photographs","nature"
"693","The story of life in photographs","photography"
"694","The story of life in photographs","storytelling"
"695","The shrimp with a kick!","biology"
"696","The shrimp with a kick!","biomechanics"
"697","The shrimp with a kick!","oceans"
"698","The shrimp with a kick!","onlinevideo"
"699","The shrimp with a kick!","science"
"700","The shrimp with a kick!","technology"
"701","Global warming's theme song, ""Manhattan in January""","climatechange"
"702","Global warming's theme song, ""Manhattan in January""","environment"
"703","Global warming's theme song, ""Manhattan in January""","guitar"
"704","Global warming's theme song, ""Manhattan in January""","music"
"705","Global warming's theme song, ""Manhattan in January""","performance"
"706","Global warming's theme song, ""Manhattan in January""","vocals"
"707","Casting a spell on the cello","cello"
"708","Casting a spell on the cello","entertainment"
"709","Casting a spell on the cello","music"
"710","Casting a spell on the cello","performance"
"711","Casting a spell on the cello","vocals"
"712","The illusion of consciousness","TEDBrainTrust"
"713","The illusion of consciousness","brain"
"714","The illusion of consciousness","consciousness"
"715","The illusion of consciousness","culture"
"716","The illusion of consciousness","entertainment"
"717","The illusion of consciousness","illusion"
"718","The illusion of consciousness","self"
"719","The illusion of consciousness","visualizations"
